Balancing Technique,Model Name,Accuracy,Precision,Recall,AUC_ROCcurve
None,LogisticRegression(),0.8016136687233033,0.6388308977035491,0.5553539019963702,0.7220856913580823
None,SVC(),0.7816801139060275,0.6253443526170799,0.41197822141560797,0.6622873112219428
None,DecisionTreeClassifier(),0.736592311343142,0.49636363636363634,0.4954627949183303,0.6587211146828156
None,RandomForestClassifier(),0.7902230659705742,0.6252873563218391,0.49364791288566245,0.6944460644119829
None,BernoulliNB(),0.7460844803037494,0.5099750623441397,0.7422867513611615,0.7448580286368789
with feature selection,LogisticRegression(),0.8016136687233033,0.6388308977035491,0.5553539019963702,0.7220856913580823
with feature selection,SVC(),0.7816801139060275,0.6253443526170799,0.41197822141560797,0.6622873112219428
with feature selection,DecisionTreeClassifier(),0.7422876127195064,0.5072992700729927,0.5045372050816697,0.6655076770909634
with feature selection,RandomForestClassifier(),0.7959183673469388,0.6416861826697893,0.49727767695099817,0.6994743140539054
with feature selection,BernoulliNB(),0.7460844803037494,0.5099750623441397,0.7422867513611615,0.7448580286368789
SMOTE(train_data),LogisticRegression(),0.8006644518272426,0.638477801268499,0.5480943738656987,0.7190986008145974
SMOTE(train_data),SVC(),0.7783578547698149,0.62,0.3938294010889292,0.6541769113413797
SMOTE(train_data),DecisionTreeClassifier(),0.7327954437588989,0.4888888888888889,0.4791288566243194,0.6508754822967356
SMOTE(train_data),RandomForestClassifier(),0.7788324632178453,0.5950782997762863,0.4827586206896552,0.6832173566173212
SMOTE(train_data),BernoulliNB(),0.7394399620313241,0.5012048192771085,0.7549909255898367,0.744462043771782
SMOTE(whole_data),LogisticRegression(),0.8323101777059774,0.8194444444444444,0.8478118876551274,0.832473718763625
SMOTE(whole_data),SVC(),0.7722132471728594,0.7455410225921522,0.8190725016329197,0.7727076063151811
SMOTE(whole_data),DecisionTreeClassifier(),0.788691437802908,0.77561282212445,0.806009144350098,0.7888741373924404
SMOTE(whole_data),RandomForestClassifier(),0.8458804523424879,0.8365261813537676,0.8556499020248204,0.8459835187873461
SMOTE(whole_data),BernoulliNB(),0.7602584814216479,0.7363690832834032,0.8027433050293925,0.7607066908778677
ADASYN(train_data),LogisticRegression(),0.7892738490745135,0.5858747993579454,0.662431941923775,0.7483110866431214
ADASYN(train_data),SVC(),0.7337446606549597,0.4947033898305085,0.8475499092558983,0.7704973196665096
ADASYN(train_data),DecisionTreeClassifier(),0.7209302325581395,0.47104851330203446,0.5462794918330308,0.6645279207237134
ADASYN(train_data),RandomForestClassifier(),0.7774086378737541,0.575091575091575,0.5698729582577132,0.7103863505941522
ADASYN(train_data),BernoulliNB(),0.726625533934504,0.4862183020948181,0.8003629764065335,0.7504385576120072
ADASYN(whole_data),LogisticRegression(),0.8323101777059774,0.8194444444444444,0.8478118876551274,0.832473718763625
ADASYN(whole_data),SVC(),0.7722132471728594,0.7455410225921522,0.8190725016329197,0.7727076063151811
ADASYN(whole_data),DecisionTreeClassifier(),0.7880452342487884,0.7781309599491417,0.7994774657086872,0.7881658428287681
ADASYN(whole_data),DecisionTreeClassifier(),0.789983844911147,0.7761755485893417,0.8086218158066623,0.7901804731207224
